username,MeanMoves,StdMoves,MeanEloDiff,WinRate,WinRate_PosEloDiff,WinRate_NegEloDiff,Mean_ACPL,Std_ACPL,Mean_Game_ACPL_Variance,After_opening_ACPL,Mean_Material_Imbalance,Std_Material_Imbalance,FightingCapability,n_loss_games,ComebackIndex,n_loss_games_for_comeback,CollapseIndex,n_win_games
2700172,37.25,15.813496345421738,15.625,31.25,40.0,16.666666666666664,41.63444127713043,15.49752281285424,10375.4591780625,60.7840211680871,0.2003339215652308,0.9097692942261864,0.443703614218402,9,0.1111111111111111,9,0.3333333333333333,6
ab2,32.375,13.657110480136955,-40.9375,50.0,20.0,63.63636363636363,67.65532178261151,29.92437641105633,16658.362732134094,121.31634592270166,0.1340826803106584,2.2136172855458427,0.3943200790778804,8,0.25,8,0.4,10
abun,51.4375,16.997916538995792,-86.0625,65.625,50.0,72.72727272727273,50.03326650654838,23.51716802488589,11244.78973310508,55.87128456397273,0.7386784857034652,2.869780668316784,0.5115985533986517,10,0.5,10,0.1111111111111111,9
adririen,25.9375,10.592253458699586,44.8125,50.0,50.0,50.0,49.98001017501018,21.93266302110237,9127.782658506098,123.99388528138527,-0.0034446242306465,1.0390076591132251,0.2579231436726737,8,0.125,8,0.1111111111111111,9
acewestfall,21.5625,8.294325369391615,69.0,37.5,38.46153846153847,50.0,59.18264695330506,38.00732297578968,11673.001501057275,89.69127680311891,-0.2913692765546555,1.2769517287042995,0.3203988326480037,8,0.125,8,0.2857142857142857,7
aiglenoir,35.6875,17.4459880774922,24.6875,56.25,33.33333333333333,85.71428571428571,50.55217677408364,20.13288397775964,13091.902791713586,65.25225339083528,-0.2441793405859807,1.24481591900362,0.4492910847054185,8,0.25,8,0.1818181818181818,11
aladin86,42.9375,16.58299832157422,94.625,46.875,50.0,0.0,47.59323246420816,17.591327396452,7722.223812756765,44.48230095212877,0.6585429923674112,1.8535559896876448,0.4772884859025069,12,0.3333333333333333,12,0.2222222222222222,9
alamsyahwk,43.375,12.409002108684378,-24.0,75.0,66.66666666666666,80.0,46.05963112009968,19.653395034067387,7494.680112372661,55.58854558884592,0.2376664358374338,1.84937088429728,0.5410526494313184,5,0.6,5,0.1111111111111111,9
alarch,45.3125,19.509719799798937,26.6875,34.375,25.0,43.75,46.13606248801243,22.84171287725822,9573.124041700556,58.42310889862746,-0.0409020954796234,2.491758008439107,0.4615688410547222,10,0.1,10,0.5714285714285714,7
aleksandar974,35.5625,17.866052539196602,-35.6875,46.875,50.0,46.15384615384615,59.14483216294405,22.01598430736805,10452.9910562756,146.33280290426956,-0.1210255708137065,0.8708707700874062,0.4339761504887357,7,0.1428571428571428,7,0.3,10
alexpavloxskiy,45.1875,18.16303480515669,-28.375,34.375,41.66666666666667,30.0,61.92968658806616,13.18155685885666,15771.358444813935,59.30914001218967,-0.1761168446864773,3.796273123936344,0.5519053769642226,12,0.0833333333333333,12,0.4545454545454545,11
alijon,38.75,19.590814173994914,-20.25,68.75,60.0,72.72727272727273,55.5189869887555,20.68859437162462,12074.004114193369,65.44579351158784,-0.5243596349076582,1.9752816817326708,0.4355005352961392,7,0.1428571428571428,7,0.0,9
andrzejrzeczycki,36.125,13.79794670714934,0.25,50.0,55.55555555555556,42.85714285714285,83.44146762720197,30.81283017603899,25832.03454699041,139.0371594425309,0.8174512254218055,1.1339925494507157,0.3772627700746326,10,0.2,10,0.4166666666666667,12
arlequin13,44.1875,19.1736581451393,-86.5,56.25,0.0,64.28571428571429,54.6053519750481,26.832846446566688,13230.223750593364,66.43503355030218,-0.5259530402511365,2.2343932724846227,0.5578005861080918,9,0.2222222222222222,9,0.1,10
aurimas123,25.9375,16.445744130321376,127.125,15.625,16.666666666666664,0.0,98.75260067572609,39.04127815511436,23003.563961078613,125.90186403508773,-1.0315024992305422,3.910092987552689,0.5171752216892799,13,0.0769230769230769,13,0.5,6
badmonkey14,32.75,17.43368387155547,-11.125,37.5,37.5,37.5,82.27893685643112,32.766536094515935,27474.31413583649,192.85507767026857,0.2044077949298592,2.869323038078344,0.5478525809090801,13,0.2307692307692307,13,0.5714285714285714,7
biragama,35.4375,11.552597110606774,29.25,40.625,35.0,50.0,44.71495193507857,18.97868218462976,5780.012355981831,61.539699337373214,-0.3320296242294839,0.5548002117320171,0.2239440419070822,9,0.1111111111111111,9,0.0,5
boskoradic77,37.8125,13.69291179162903,-73.4375,43.75,33.33333333333333,46.15384615384615,42.38337367368069,17.830265358180235,5469.018473553992,43.60691027966509,-0.3749900453942533,2.379969099132746,0.5994862874354135,14,0.3571428571428571,14,0.0,6
carlinhos,40.75,16.510602654052335,29.75,37.5,31.818181818181817,50.0,40.00085448406217,21.477256778082168,7110.995100827587,50.40132207044242,-0.2439123685328374,1.1370148619395717,0.2373730189592575,9,0.0,9,0.2,5
carlo_rossi,31.375,8.88350531415762,-16.4375,68.75,60.0,72.72727272727273,37.704730234339074,28.53540604998733,9983.876894372914,59.04555464045431,0.0960473724827438,1.1154944011691883,0.1956996229309793,4,0.0,4,0.0909090909090909,11
chesslearningpro,31.4375,13.822535946779086,16.625,46.875,31.25,57.14285714285714,63.03420328657009,27.5799050912364,10966.266415459508,67.58945746781954,0.5172680353845764,2.869959347839892,0.5616212899602641,11,0.1818181818181818,11,0.125,8
correa12,36.3125,14.659325814420434,14.9375,28.125,12.5,43.75,74.32418976923938,37.67383321158551,19138.0977852918,106.41528862741268,-0.2538984887987147,2.3303945402259982,0.6536488006406581,13,0.1538461538461538,13,0.3333333333333333,6
crytash,29.875,10.738559804120229,-18.0625,31.25,16.666666666666664,40.0,53.19061065126997,22.25571633485582,8996.261891945327,80.87236335414474,0.9238567422698511,2.188631412679013,0.3605908524450568,8,0.125,8,0.2857142857142857,7
domehugo,38.625,17.173137938847013,53.3125,37.5,41.66666666666667,25.0,55.17117688197472,19.01339611835313,11626.578865754806,74.91846365831329,0.3544692251415414,2.29610008928234,0.5147930737836197,11,0.0909090909090909,11,0.375,8
dr_perdyllo,34.5,18.740330840195966,-61.1875,56.25,75.0,50.0,70.7271842745375,22.303858231011347,16402.764750311515,81.01716786203013,0.0853528063715645,2.063598151268069,0.4925762937314684,8,0.25,8,0.25,12
e_onegin,27.5625,8.854142156828821,-39.4375,62.5,50.0,70.0,48.598753442039886,33.89820472458202,10239.78943836924,79.93383053221288,-0.1153035774199597,2.728029530971627,0.4054994457476726,5,0.0,5,0.1666666666666666,12
entuzijasta,41.25,15.98123900077838,-37.875,46.875,37.5,50.0,33.52597906958231,15.32441822729991,4395.93333670262,41.12609356121559,-0.7258643800248175,1.8055870121560216,0.2832732083671422,8,0.125,8,0.25,8
erkinbaltaev,30.5,10.917875251164944,23.6875,43.75,36.36363636363637,60.0,67.9922562681797,35.06695586949762,23657.253468065384,139.20789251234595,0.4139237443775442,1.66414728004472,0.410461070193905,10,0.2,10,0.25,8
esolcneveton,32.0,17.508093366592874,33.1875,43.75,40.0,50.0,45.72582114971345,25.08811054398539,7163.403757495008,67.75157828282828,-0.1514311057144041,1.352390157447716,0.333839358939311,5,0.2,5,0.3333333333333333,9
filip7,24.9375,11.664583147288203,158.8125,18.75,13.333333333333334,100.0,47.12481125082251,18.2481805960787,8148.553406473249,65.57258969624561,-0.2232710290935597,1.4882835247371329,0.1392595356080931,8,0.0,8,0.4,5
flanks,31.3125,9.720896735041132,20.5625,40.625,25.0,66.66666666666666,80.15864688611575,41.19130639362459,23665.30774349495,67.77953327899887,-0.1241024546278999,4.140173947838488,0.6606085860795872,11,0.1818181818181818,11,0.4166666666666667,12
frenchplay,41.6875,13.016495944249618,-74.875,68.75,60.0,72.72727272727273,53.718790130481246,21.949973346947672,15658.230247420992,105.49238451746054,0.8429419073681659,0.8724871522664807,0.4870495160477436,9,0.5555555555555556,9,0.2142857142857142,14
gaininonyou,31.8125,17.818412761335765,-12.8125,56.25,40.0,70.0,57.26803091976733,18.058407134910578,10730.137040450183,71.09451489533011,0.1532490461229947,2.2036693440733908,0.5210835004667409,8,0.125,8,0.1,10
georgym89,40.625,12.451907484397722,24.9375,46.875,37.5,56.25,48.29016264752826,17.547663310254215,14077.17578536842,72.3867729536259,0.1814820043805896,1.5314912573057131,0.3475963970585844,7,0.1428571428571428,7,0.2,10
goeasyonme,27.0625,13.17304697731951,-6.75,34.375,18.75,50.0,52.68323744920444,31.542033604920693,12781.046805540063,43.07295287433155,0.0857569734204382,7.447687228007678,0.6009882313823932,8,0.0,8,0.1666666666666666,6
greetsenko,30.1875,15.445468591143488,-21.875,62.5,20.0,81.81818181818183,60.62974379880566,32.05305675991617,12606.05965219758,69.14630064924182,-0.4365168355227671,1.7095477693384826,0.518987829738847,9,0.3333333333333333,9,0.1111111111111111,9
gregor_baron,29.4375,16.75696372656256,0.25,65.625,50.0,75.0,61.13644652142937,21.64964499743216,15438.29813710449,81.7671164021164,-0.1977622883573552,0.9856555080850388,0.3889145852605612,2,0.0,2,0.1111111111111111,9
hard2kill74,33.9375,14.72172431023848,120.1875,40.625,38.46153846153847,50.0,64.8487809822554,26.08378721683292,13161.043042326852,122.87028260270196,-0.5144143476944503,2.1431445101221454,0.5062928134261488,13,0.3076923076923077,13,0.1666666666666666,6
henrycas30,32.375,14.60079906489139,47.4375,43.75,30.76923076923077,100.0,88.87113889198584,42.779086526320064,18594.320505482163,69.37897611627368,0.9191050251179738,4.150735897414249,0.6786492989205039,12,0.25,12,0.0,7
howie,29.0,14.75578982411085,-3.0625,50.0,56.25,43.75,59.92724550447837,21.20946604710557,12645.012659393584,92.15881201400938,-0.2392032919386039,1.4166571727769843,0.4017404986203121,9,0.3333333333333333,9,0.2222222222222222,9
huntermind,26.75,9.842086499653751,-29.75,50.0,14.285714285714285,77.77777777777779,75.67738100242794,51.294026853929445,22873.737046191152,105.80107802159527,-0.272059058841544,1.361112025202842,0.2088563932702543,8,0.0,8,0.125,8
